iter	Passed	Remaining
0	4808	1437671
1	9583	1427990
2	14386	1424271
3	18957	1402878
4	23490	1385921
5	27930	1368608
6	33198	1389596
7	37579	1371656
8	41844	1352985
9	46655	1353019
10	51066	1341658
11	55620	1334881
12	60278	1330771
13	64906	1325950
14	69765	1325547
15	74639	1324852
16	79543	1324167
17	84282	1320426
18	89200	1319231
19	94013	1316193
20	98694	1311231
21	103602	1309154
22	108795	1310272
23	113681	1307338
24	118457	1303030
25	123460	1301087
26	128028	1294511
27	132936	1291382
28	137768	1287424
29	142489	1282407
30	147324	1278393
31	151952	1272603
32	156600	1267043
33	161560	1263976
34	166255	1258790
35	170942	1253575
36	175616	1248302
37	180375	1243640
38	184972	1237890
39	189487	1231669
40	194198	1226764
41	198726	1220750
42	203540	1216512
43	208361	1212287
44	213079	1207450
45	217494	1200948
46	222032	1195197
47	226805	1190728
48	231385	1185262
49	235981	1179906
50	240851	1175923
51	245463	1170671
52	250026	1165217
53	254667	1160152
54	259442	1155696
55	263955	1150091
56	268870	1146239
57	273603	1141585
58	278246	1136564
59	282912	1131648
60	287470	1126318
61	292289	1122013
62	297171	1117929
63	301648	1112327
64	306640	1108623
65	311190	1103313
66	315872	1098483
67	320519	1093537
68	325099	1088376
69	329627	1083060
70	334385	1078509
71	339177	1074062
72	344267	1070530
73	349112	1066208
74	353583	1060749
75	358087	1055414
76	362888	1050962
77	367435	1045778
78	371964	1040558
79	376712	1035960
80	381536	1031562
81	386499	1027522
82	391307	1023057
83	396053	1018423
84	400786	1013755
85	406358	1011170
86	410986	1006208
87	415771	1001631
88	420368	996603
89	425658	993202
90	430372	988438
91	434803	983034
92	439454	978141
93	443998	973018
94	448705	968259
95	453163	962971
96	457652	957767
97	462320	952945
98	466973	948098
99	471498	942997
100	475967	937797
101	480674	933074
102	485211	928026
103	489731	922956
104	494696	918721
105	499434	914058
106	504749	910436
107	510261	907131
108	514916	902285
109	519675	897621
110	524605	893246
111	529393	888624
112	533822	883405
113	538381	878412
114	542927	873405
115	547518	868478
116	552546	864239
117	557685	860159
118	563103	856484
119	567734	851601
120	572119	846358
121	576681	841387
122	581167	836313
123	585780	831431
124	590355	826497
125	594747	821317
126	599117	816120
127	603589	811073
128	608005	805960
129	612341	800754
130	616670	795552
131	621186	790601
132	625628	785563
133	630099	780570
134	634947	776047
135	639544	771215
136	644504	766819
137	648992	761861
138	653410	756827
139	657950	751943
140	662392	746953
141	666881	742023
142	671493	737233
143	676065	732404
144	680472	727401
145	684872	722399
146	689301	717436
147	693872	712626
148	698385	707759
149	702888	702888
150	707414	698044
151	711835	693102
152	716291	688201
153	720741	683300
154	725225	678437
155	729774	673638
156	734234	668761
157	738651	663851
158	743159	659028
159	747725	654259
160	752301	649502
161	756846	644720
162	761312	639876
163	765744	635007
164	770232	630190
165	774609	625286
166	779158	620527
167	783728	615786
168	788464	611176
169	792855	606301
170	797394	601543
171	801766	596663
172	806213	591844
173	810688	587050
174	815173	582266
175	820271	577918
176	824828	573185
177	829393	568460
178	833819	563643
179	838370	558913
180	842817	554117
181	847365	549390
182	851815	544603
183	856205	539781
184	860756	535065
185	865324	530360
186	870376	525949
187	874748	521126
188	879261	516391
189	883647	511585
190	888201	506879
191	892628	502103
192	897088	497349
193	901565	492607
194	905967	487828
195	910475	483109
196	914982	478391
197	919528	473696
198	924228	469080
199	929178	464589
200	933955	460007
201	938421	455274
202	942854	450526
203	947275	445776
204	951783	441070
205	956248	436346
206	960748	431640
207	965244	426935
208	969870	422288
209	974360	417583
210	979063	412969
211	983475	408235
212	1001346	409000
213	1007410	404847
214	1012236	400186
215	1016693	395380
216	1021121	390567
217	1025557	385760
218	1030554	381163
219	1034911	376331
220	1039386	371545
221	1043980	366804
222	1048495	362036
223	1053001	357268
224	1057516	352505
225	1062096	347766
226	1066603	343004
227	1071061	338230
228	1075492	333449
229	1080002	328696
230	1084480	323935
231	1089024	319196
232	1093558	314456
233	1098120	309726
234	1102817	305034
235	1107294	300283
236	1111737	295525
237	1116201	290775
238	1120720	286041
239	1125180	281295
240	1129716	276569
241	1134151	271821
242	1138589	267076
243	1143050	262339
244	1147452	257591
245	1151957	252868
246	1156406	248135
247	1160843	243402
248	1165639	238745
249	1170137	234027
250	1174575	229299
251	1179424	224652
252	1183902	219934
253	1188392	215220
254	1192950	210520
255	1197407	205804
256	1201893	201094
257	1206310	196376
258	1210766	191665
259	1215154	186946
260	1219565	182233
261	1224144	177547
262	1228554	172838
263	1232959	168130
264	1237371	163426
265	1241714	158715
266	1246207	154025
267	1250625	149328
268	1255089	144638
269	1259607	139956
270	1264113	135274
271	1268836	130615
272	1273465	125947
273	1277951	121265
274	1282424	116584
275	1287177	111928
276	1291619	107246
277	1296120	102570
278	1300744	97905
279	1305405	93243
280	1310000	88576
281	1314421	83899
282	1319068	79237
283	1323501	74563
284	1328147	69902
285	1332675	65235
286	1344108	60882
287	1368152	57006
288	1388494	52849
289	1410614	48641
290	1432280	44297
291	1453081	39810
292	1473537	35203
293	1493584	30481
294	1514026	25661
295	1534943	20742
296	1555865	15715
297	1576284	10579
298	1597242	5341
299	1617349	0
