iter	Accuracy	MultiClass
0	0.7961046974	1.297559959
1	0.7961017239	1.221645875
2	0.7987570714	1.155300768
3	0.7980939779	1.098044879
4	0.797176649	1.047892723
5	0.7971290728	1.003715209
6	0.7990930784	0.9632615328
7	0.7988314092	0.9274669059
8	0.7993012243	0.8949013792
9	0.799895927	0.8648686034
10	0.8004846827	0.8377239614
11	0.8008682659	0.8129414266
12	0.8012473889	0.7898316575
13	0.8014704024	0.7686595338
14	0.802059158	0.749055469
15	0.8029794605	0.7308422515
16	0.8032946529	0.7141655042
17	0.8034492756	0.6984729452
18	0.8039205775	0.6839062352
19	0.8041837334	0.6704594911
20	0.8045227139	0.6578284209
21	0.8048512872	0.6460166322
22	0.8052512247	0.634898588
23	0.8053790858	0.6244244525
24	0.8056095331	0.614554365
25	0.8058890433	0.6054975229
26	0.8064926666	0.5970708784
27	0.8065253752	0.5890075681
28	0.8064941533	0.5813884719
29	0.8065699779	0.5745939705
30	0.8068821968	0.5679307661
31	0.8071453528	0.561796727
32	0.8074308101	0.5564441685
33	0.8079719895	0.5510047368
34	0.8081905427	0.5459771399
35	0.8085979141	0.5412056591
36	0.8089473019	0.5365458355
37	0.8093487262	0.5321487053
38	0.8096059351	0.5278187289
39	0.8097010876	0.5236667313
40	0.8100564224	0.5199556731
41	0.8102675419	0.5170415672
42	0.8104236513	0.5137751982
43	0.8107819597	0.5105830538
44	0.8110540362	0.5076783377
45	0.8111328343	0.5049203397
46	0.8114316724	0.5023168106
47	0.8114673545	0.4998923493
48	0.8117379443	0.4975336661
49	0.8118806729	0.4948566665
50	0.8120962526	0.4924911798
51	0.8123266999	0.490500048
52	0.8125630942	0.4885676536
53	0.812686495	0.4866344373
54	0.8130864326	0.4846199847
55	0.8132068599	0.4826379744
56	0.8134194661	0.4810856838
57	0.8136008504	0.4795640966
58	0.8140334966	0.4780040136
59	0.8143204407	0.4767692852
60	0.8145940039	0.4754340612
61	0.8147545736	0.4739151284
62	0.8149463653	0.472206383
63	0.815112882	0.4710818847
64	0.8152437166	0.4699920652
65	0.8155886442	0.4688060089
66	0.8157373198	0.4676456679
67	0.8159900685	0.4665684553
68	0.8161179295	0.4657372235
69	0.8163498636	0.4648865542
70	0.8166977647	0.4639263568
71	0.8168925298	0.4627361258
72	0.8171854209	0.4617139651
73	0.8173147687	0.4606667252
74	0.8175749511	0.4599655924
75	0.8177637692	0.4592646903
76	0.8179154184	0.4582402576
77	0.8180655808	0.4575500614
78	0.8182648062	0.456924325
79	0.8184907933	0.4561634922
80	0.8186558233	0.4552755559
81	0.8187836843	0.454463385
82	0.8189457408	0.4539532839
83	0.8192118703	0.4533752205
84	0.8193322976	0.452808176
85	0.8195181421	0.4521121662
86	0.8196757384	0.4514459617
87	0.8198600962	0.4505481639
88	0.8201336594	0.4500494904
89	0.820319504	0.4494479271
90	0.8204414181	0.4489270875
91	0.820484534	0.4484126616
92	0.8205856335	0.4477943057
93	0.8207506635	0.4474266652
94	0.8209558359	0.4469708457
95	0.8211193791	0.446569089
96	0.8212740018	0.4462731658
97	0.8214895816	0.4458177692
98	0.8216798864	0.4451754102
99	0.8217780124	0.4447301538
100	0.821920741	0.444377689
101	0.8220099464	0.4439548805
102	0.8221913307	0.4436894167
103	0.8223519004	0.4431209486
104	0.8226150564	0.4425636352
105	0.8227191294	0.4421700046
106	0.8228648315	0.4417920316
107	0.8229926926	0.4413916142
108	0.8231770504	0.4411377447
109	0.8233777626	0.4406185288
110	0.8235546866	0.4400486323
111	0.8237137696	0.4395375053
112	0.8238104088	0.4392483223
113	0.8239278626	0.4388362673
114	0.8239769255	0.4385717853
115	0.8241241145	0.4382550616
116	0.8241761509	0.437741969
117	0.8242668431	0.4374523568
118	0.8243976777	0.4371962985
119	0.8244601215	0.4368494901
120	0.8245612209	0.4366156855
121	0.824695029	0.4362965451
122	0.8247827477	0.4360302271
123	0.8249448042	0.4356804442
124	0.825086046	0.4352984527
125	0.8252168806	0.4349936983
126	0.8254309736	0.4347236707
127	0.8256212785	0.4343856516
128	0.825734272	0.4341640055
129	0.8258413185	0.4339654917
130	0.8259230901	0.433736036
131	0.8260331101	0.4333957171
132	0.826180299	0.4330252343
133	0.8262219282	0.4327947836
134	0.8263483025	0.4324076948
135	0.8264345344	0.4321921651
136	0.8266501141	0.4318518036
137	0.8266917433	0.4316209663
138	0.8268136573	0.4313179565
139	0.8269638198	0.4309934145
140	0.8270545119	0.4307231662
141	0.827127363	0.4305620516
142	0.8272284625	0.4303429565
143	0.8273191546	0.4299191909
144	0.8274425554	0.4297470925
145	0.8275719033	0.429580618
146	0.8276893571	0.4294338067
147	0.82773842	0.4291173555
148	0.8278291122	0.4287618023
149	0.8279852216	0.4285117924
150	0.8280372581	0.4282773315
151	0.8281710662	0.428091278
152	0.8282751392	0.4277880787
153	0.8283554241	0.4276106541
154	0.8284446295	0.4275056313
155	0.8285427554	0.4272935397
156	0.8286156065	0.4271383144
157	0.8287271132	0.426986497
158	0.8288088849	0.4268314399
159	0.8289189049	0.4266813798
160	0.8290393321	0.4263952539
161	0.8291300243	0.4262472708
162	0.8292831603	0.4261314451
163	0.8293768259	0.4259392533
164	0.8294333227	0.4257789967
165	0.8294853592	0.4256600585
166	0.8295983527	0.4253791427
167	0.8296979654	0.4250937444
168	0.8297455416	0.4248155654
169	0.8298064986	0.4246295912
170	0.8299075981	0.424314628
171	0.8299417935	0.4241780571
172	0.8300518135	0.4239722695
173	0.8301320983	0.4236765431
174	0.8302287375	0.4235516458
175	0.8303610589	0.4230714845
176	0.8305409564	0.4227521233
177	0.8305929929	0.4226070376
178	0.8306584102	0.4224687529
179	0.8307714037	0.422283773
180	0.8307996521	0.4221209482
181	0.8308933178	0.4219790562
182	0.8309825232	0.4218837885
183	0.8310494272	0.4217526435
184	0.8311416061	0.4216591922
185	0.8311297121	0.4214805417
186	0.8312798745	0.4211004527
187	0.8313304242	0.4210211059
188	0.8313646197	0.420846253
189	0.8314136826	0.420740347
190	0.8314746396	0.4204836818
191	0.8315162688	0.4203458645
192	0.8315727656	0.4201992296
193	0.8316307491	0.4199663791
194	0.8316887326	0.4198133125
195	0.8317259015	0.4196948374
196	0.8318061864	0.4194758189
197	0.8319845972	0.4193043504
198	0.8320009515	0.419039746
199	0.8320574483	0.4187738506
200	0.8321481404	0.418603911
201	0.8322403194	0.4185146438
202	0.832278975	0.4184122674
203	0.8323146572	0.4183288716
204	0.8323994023	0.4182537481
205	0.8324469785	0.4181309026
206	0.8325153693	0.4179815943
207	0.8325763264	0.4178723759
208	0.8326253893	0.4177857796
209	0.8326655318	0.4177067068
210	0.8328097472	0.4174192875
211	0.8328662439	0.4173372229
212	0.8329108466	0.4172529129
213	0.8329688301	0.4171721697
214	0.8330193799	0.4170730775
215	0.833055062	0.4169195049
216	0.8330788501	0.4167463582
